2017/06/22 00:10:30 [error] 32#0: *178 FastCGI sent in stderr: "PHP message: PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /app/public/local-phpinfo.php on line 1" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET /local-phpinfo.php HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev"
2017/06/26 22:55:32 [error] 32#0: *1068 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '<' in /app/public/wp-content/themes/taggedunderconstruction/index.php on line 14" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 22:55:36 [error] 32#0: *1072 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '<' in /app/public/wp-content/themes/taggedunderconstruction/index.php on line 14" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 22:55:37 [error] 32#0: *1076 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '<' in /app/public/wp-content/themes/taggedunderconstruction/index.php on line 14" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 22:57:17 [error] 32#0: *1092 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '<' in /app/public/wp-content/themes/taggedunderconstruction/index.php on line 13" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:00:54 [error] 32#0: *1193 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '<' in /app/public/wp-content/themes/taggedunderconstruction/index.php on line 13" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/2017/06/26/this-is-another-project/"
2017/06/26 23:01:03 [error] 32#0: *1209 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '<' in /app/public/wp-content/themes/taggedunderconstruction/index.php on line 13" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/2017/06/26/this-is-another-project/"
2017/06/26 23:02:15 [error] 32#0: *1243 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '<' in /app/public/wp-content/themes/taggedunderconstruction/index.php on line 14" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/page/2/"
2017/06/26 23:03:29 [error] 32#0: *1282 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '<' in /app/public/wp-content/themes/taggedunderconstruction/index.php on line 14" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/page/2/"
2017/06/26 23:08:10 [error] 32#0: *1326 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/functions.php on line 1" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/wp-admin/post.php?post=13&action=edit"
2017/06/26 23:21:15 [error] 32#0: *1592 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '<' in /app/public/wp-content/themes/taggedunderconstruction/functions.php on line 16" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
